SongTitle,Lyrics,hasVideo,Annotations,ReleaseDate,Album,lang,WordLength
Rap God,look gon na go easy hurt feel go get chance something wrong feel feel like something happen know mean think mean trouble big trouble banana take chance doc order beginnin feel like rap god rap god people front back nod back nod think arm long enough slap box slap box rap like robot call rap bot rap like computer must gene laptop back pocket pen go half fat knot rap profit make livin killin ever since bill clinton still office monica lewinsky feelin mc still honest rude indecent hell syllable skill holic flippity dippity hippity hip hop really wan na get pissin match rappity brat packin mac back ac backpack rap crap yap yap yackety yack exact time attempt lyrical acrobat stunt practicin still able break table back couple faggot crack half realize ironic sign aftermath fact could blow drop f bomb feel wrath attack rapper havin rough time period maxi pad actually disastrously bad wack masterfully construct masterpi ce beginnin feel like rap god rap god people front back nod back nod think arm long enough slap box slap box show maintainin hard hard everybody want key secret rap immortality like well truthful blueprint simply rage youthful exuberance everybody love root nuisance hit earth like asteroid nothing shoot moon since mc get take school music use vehicle bus rhyme lead new school full student product rakim lakim shabazz pac n w cube hey doc ren yella eazy thank slim inspire enough day grow blow position meet run c induct rock roll hall fame even though walk church burst ball flame hall fame induct alcohol fame wall shame think game til walk flock flame plank tell thinkin little gay lookin boy gay barely straight face lookin boy witnessin mass occur like watch church gathering take place lookin boy oy vey boy gay lookin boy get thumb pat back way go label every day lookin boy hey lookin boy lookin boy get hell dre lookin boy work everything never ask nobody get outta face lookin boy basically boy never gon na capable keepin pace lookin boy beginnin feel like rap god rap god people front back nod back nod way racin around track call nascar nascar dale earnhardt trailer park white trash god kneel general zod planet krypton asgard asgard thor odin rodent omnipotent reloadin immediately bomb totin woken walkin dead talkin head zombie floatin mom deep throatin ramen noodle nothin common poodle doberman pinch arm pay homage pupil honesty brutal honestly futile utilize though good least wan na make sure somewhere chicken scratch scribble doodle enough rhyme maybe try help get people tough time get ta keep punchlines case even unsigned rapper hungry lookin like lunchtime know time king underground still rap like pharoahe monch grind crunch rhyme sometimes combine appeal skin color mine get big come tryin censor like line back mathers lp try take seven kid columbine put em line add ak revolver see get away big morphin immortal comin portal stuck time warp though know rhyme pointless rapunzel cornrows write normal normal bought new raygun future come shoot ya like fabolous make ray j mad fab look like mayweather pad singin man played piano man man special cable channel ray j go straight radio station next day hey fab kill lyric comin supersonic speed uh summa lumma dooma lumma assumin human get ta get superhuman innovative make rubber anything ricochetin glue devastate ever demonstrate give audience feel like levitate never fading know hater forever wait day fell celebrate know way get em motivate make elevate music make elevator music mainstream well get jealous confuse hip hop pop found hella way fuse rock shock rap doc throw lose make em lose know make song like know word use know occurs rippin verse versus curtain inadvertently hurtin many verse get ta murder prove half nice song could sacrifice virgin ugh school flunky pill junkie look accolade skill brung full still hungry bully make put mind million league ill speak tongue still tongue cheek drunk satan take wheel sleep front seat bumpin heavy boyz still chunky funky head something feel tug struggle angel fight devil want askin eliminate woman hate take consideration bitter hatred may little patient sympathetic situation understand discrimination life handin lemon make lemonade batter woman suppose bake cake mistake satan fatal mistake think need overseas take vacation trip broad make fall face retard king think king god,True,110,2013-10-15,The Marshall Mathers LP2 (Deluxe),en,4351
Killshot,sound like shut fan become hater beard weird alright yellin mic weird beard doin yellin mic beard weird yell mic rihanna hit text last night left hickey neck wait dis perplexed insult line compliment next damn really sorry want heart attack watchin mile nordictrack realize forgot call back autograph daughter write starter cap stan stan son listen man dad mad gon na name damn gun man bun giant woke eye open undeniable supplyin smoke fire stoke scope graze call interscope swayze reply crowd yell woo die see petty corny line ow kelly ooh still outsell three album blew talk somethin really go someone daughter mouth stealin food mole hill make mountain woo ho chill actin like put chrome barrel bone marrow gunner bow arrow run like phone bill sprayin lead playin dead time hold still eat cereal oatmeal bowl milk wheaties cheerio takin em kelly need reading material dictionary yo slim last four album suck go back recovery shoot three album ago know oops know fact come lil goof luxury broke enough money burn front ho young wack funny true rather year old year old til hit old age still fill whole page year old rage fan city lil kiddy go play feel like babysitting lil tay diddy okay spent whole day shootin video dig grave wake billy goat never make list next biggie jay next taylor swift iggy ho really blow kelly put name next ja next benzino die like last sayin hailie vain alien brain satanist big flop great hit game mine nothin change lock slay mwah give jade kiss get ta wake labor day bein rich sham prick usin name clickbait state bliss goddamn name get ta back aim pop champagne moment big gon na get enjoy give career destroy lethal injection go sleep six foot deep give b effort three foot eleven look record would suck second lick get channel give life solidify mothafuckin like rambo bullet good machine gun outta ammo enough tat mumble rapper battle kim flannel give sandal know long shady gon live shadow exhaust offspring lick gun barrel get dance around like sombrero see salty young gerald ball deep inside halsey red sweater black leather dress well rap well death threat love letter little white toothpick think pic like prick thanks dis excuse mic write alike really care right losin fight picked else want kells attempt fails budden l nail coffin soft cottonelle killshot fail doc still idiot bos pop pill tell skill kells day put hit day diddy admits put hit pac kill ah sick bein wack still usin mothafuckin auto tune talk sick mumble rap mouth need get even talk sick blonde hair earring look mirror think marshall mathers mean leave mouth keep daughter playin diddy know love,True,58,2018-09-14,,en,2610
Godzilla,ugh monster swallow bottle alcohol feel like godzilla well hit deck like card dealer whole squad walk around party cross zombie apocalypse b bobby brain heenan probably reason wrestle mania shady posse consider cross costly mistake sleepin hoe well get insomnia adhd hydroxycut pa courvoisier aa ak melee finna set like playdate well vacate retreat like vacay mayday beat cray cray ray j h h h laugh way bank spray flame tame placate monster get way feed monster normal day night turn monster moon shine like ice road trucker look like villain outta blockbuster godzilla fire spitter monster blood dance floor louis v carpet fire godzilla fire monster blood dance floor louis v carpet product slick rick onyx told em lick ball em appalled many thing em impossible list em midst mental hospital crystal ball tryna see still like tomorrow risperdal voice whisper fist ball back wall pencil drawn song go ballistic pull pistol guy missile launcher loch ness mythological quick tell screw like fifth vodka twist top bottle monster get way feed monster normal day night turn monster moon shine like ice road trucker look like villain outta blockbuster godzilla fire spitter monster blood dance floor louis v carpet fire godzilla fire monster blood dance floor louis v carpet never give damn raise hand set trip vacation plan point like index ever get finger prostate exam fan perspire like liar pant fire plan retire still man admire chick spazzin get handsome flyer em passin like hand someone flyer go around come around like blade chainsaw caught flack dollar stack right bat like baseball like kid ink rack much ease call diddy make band call get cheese cakewalk player stingy cher even lend ear even pretend care tell marry bury face genital area original richard ramirez cristhian rivera lyric never sit well wan na give chair like paraplegic scary call hari kari e ry tom harry carry merriam dictionary em swear spit hilarious time put obituary column see eye eye star problem get shaft like steer column trigger happy pack heat black ink evil half bad meet evil mean take back seat take back fat beat maxi single look rap sheet attracts people gangsta like apache catchy jingle stack chip barely half eat cheeto fill em venom eliminate em word minute maid em wan na hurt em fit rage murderin nobody evade finna kill em dump body lake obliterate everything incinerate renegade make anybody want pen afraid nobody want gon na get anyway beginnin feel like mentally ill attila kill kill killer bee vanilla gorilla bringin killer within outta wan na enemy demon enter receivin end stupidity every bit epitome spitter vicinity well duck finna dead minute run hundred percent fifth percent bout finish unfadable wan na battle available blowin like inflatable undebatable unavoidable unevadable toilet bowl trailer full money paid full afraid pull man stop look plannin haha,False,39,2020-01-17,Music to Be Murdered By,en,2870
Lose Yourself,look shot opportunity seize everything ever want moment would capture slip yo palm sweaty knee weak arm heavy vomit sweater already mom spaghetti nervous surface look calm ready drop bomb keep forget write whole crowd go loud open mouth word come choke everybody joking clock run time blaow snap back reality ope go gravity ope go rabbit choked mad give easy know whole back rope matter dope know broke stagnant know go back mobile home back lab yo old rap well go capture moment hope pa well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well soul escape hole gap world mine take make king move toward new world order normal life boring superstardom close post mortem grows harder homie grows hotter blow hoe coast coast show know globetrotter lonely road god know grown farther home father go home barely know daughter hold nose go cold water hoe want mo cold product move next schmoe flow nose dove sell nada soap opera told unfolds suppose old partner beat go da da dom da dom dah dah dah dah well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well game change call rage tear roof like two dog cage playin begin mood change chewed spit booed stage kept rhymin step right next cypher best believe somebody payin pied piper pain inside amplify fact get nine five provide right type life family man goddamn food stamp buy diaper movie mekhi phifer life time hard gettin even harder tryna feed water seed plus teeter totter caught bein father prima donna mama drama screamin much wan na stay spot another day monotony gotten point like snail formulate plot end jail shot success option failure mom love trailer go grow old salem lot go shot foot fail may opportunity well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well lose music moment well never go get shot miss chance blow opportunity come lifetime yo well anything set mind man,True,39,2002-10-28,The Singles,en,2143
The Monster,friend monster bed get along voice inside head tryin save stop holdin breath think crazy think crazy want fame cover newsweek well guess beggar choosey want receive attention music want left alone public excuse wantin cake eat wantin way fame make balloon ego inflate blew see confuse want bruce lee loose leaf abuse ink use tool blew steam whoo hit lottery ooh wee give get bittersweet like winnin use mink ironic think gettin huge need shrink beginnin lose sleep sheep two sheep goin coo coo kooky kool keith actually weirder think friend monster bed get along voice inside head tryin save stop holdin breath think crazy think crazy well nothin well nothin much poet know somebody told seize moment squander never know could tomorrow keep conjurin sometimes wonder thought spawn ponderin wonder wonder losin mind way wanders yodel odel ay hee hoo think go wanderin yonder stumble onto jeff vanvonderen need interventionist intervene monster save conflict thing love killin conquer ocd conkin head keep knockin nobody home sleepwalkin relayin voice head sayin shoot messenger friend friend monster bed get along voice inside head tryin save stop holdin breath think crazy think crazy well nothin well nothin call crazy vision day walk amongst regular civilian drum get kill comin straight mc blood get spill take back day get dre track give every kid played pumped feelin back kid played save child kid hundred million goin struggle feel relates great payback russell wilson fallin way back draft turn nothin somethin still make straw gold chump spin rumpelstiltskin haystack maybe need straightjacket face fact nut real okay nothin still friend friend monster bed get along voice inside head tryin save stop holdin breath think crazy think crazy friend monster bed get along voice inside head tryin save stop holdin breath think crazy think crazy well nothin well nothin,True,43,2013-10-29,The Marshall Mathers LP2 (Deluxe),en,1872
Lucky You,woah joyner joyner lot thing day admit take back meant life want grammy prolly never get never trophy ribbon system bend law cut rule risk much lose eatin long enough turn cut food pa plate drink day lucky woo get ta move get ta move get ta move give room give room give juice hop coupe hop coupe hop shoot get ta move get ta move give juice back bullshit back wall turn back finish back bullet back job pull mac runnin back hood back pushin pack actually pumpin rapper practically suckin mighta go platinum mean nothin actually buzzin time straight kitchen told em oven mine guy kill know gon suffer time gangster banger chain blade couple knife chopper jammies partridge pear tree day christmas nothin lie run hard like sumo talk like chulo live mar bruno dog call cujo play card reverse might draw like uno c llate boca mejor maric n little puto culo invent level ghetto get old lookin somethin prolly never find get relevant til nother beef die truth really want tie alone never need nobody shotty tell lie keep money never want lifestyle pray god son alright love side anyone ever want smoke die goin underdog never lose hope wrong cab wrong path wrong way wrong road snake grass tryna slither fast bought lawn mower lotta thing day admit payback way regret couple grammys sell soul get em trophy recognition difference cracker bend law rule man use risk much lose eatin long enough man stomach full ate lick plate buffet lucky think couple mansion still manner couple ghostwriter kid actually matter askin happen hip hop answer take l drop last album hurt like hell back rapper actually comin humble begin somewhat uncomfortable win wish could wonderful feel upswing like punchin ceiling nothin feel like anyone ability even stick subject killin inability pen humility ha ta ta ba ta ta make bunch song nothin mumble em goin jugular circus clown comin give ounce motherfuck make rap recap way back mc wreak havoc tape deck adat g rap kanes need stack asap bring masta ace back half rapper brain damage lean rappin face tat syruped like tree sap hate trap wan na seem mad fact old cat would take feedback aim back need think inevitable know button press lever pull get snap though pay attention prob ly makin big takin ya back ho brink minute thinkin finishin everything acetaminophen reapin benefit asleep wheel peak thinkin evil intent another beat kill even get ta end eatin pill even ketamine methamphetamine minithin well least milligram might well end bein villain level elevator could never record breaker sound like broken record every time break record nobody could ever take away legacy make never cater right way spite inside dna roll til wheel fall workin tirelessly ayy moment waitin like california wishin rain pour drought prayin downfall mile southpaw still marshall outlaw writer might fell back bull like cowboy get ta move get ta move get ta move give room give room give juice hop coupe hop coupe hop shoot get ta move get ta move give juice,False,39,2018-08-31,Kamikaze,en,2966
The Ringer,plane crash yo gon na write first thought see take feel like wan na punch world face right explain make greatness straight gate bout break mistake allow make mistake bout rape alphabet may raise brow press issue get anger full magazine could take staple savage thinkin bout bank account chain like kala brown shut talkin lil sorry wait talent critiquin talent know give sub par bar even opinion mention million view attention news mention lose lose win win billion view ten cent two skim music give review get click lit fuse get misconstrue business u list renew get get dis get half listenin idea much hate choppy flow everyone copy though prob ly get audio audi yo adi see people like lil yachty though even dissin simply emcee maybe stan cup tea maybe cup full syrup lean maybe need stir preferably shake world paul want chill want ill eat pill probably old kill new watch bleed death breathe mirror see breath possibly dead must posse like evil spell e v l jam crest whitestrip tip ice pick stick vise grip hang spike fence bang pipe wrench take ball sack flick like light switch like vice president mike penny back sidekick lay spike strip thing rather hear mic since nine tenth rhyme ice jesus christ man many time someone gon na ever see em icy cold get c polarize thames might freeze skull might split like bash upside club smash like nightstick turn loud enough nah turn valium know gon na get mouth shut matter caliber spit bet hundred thousand buck turn around like man sourpuss gon na get mad album suck want take u last week ex fan mail copy mathers lp tell study help get back love mail back like everyone else industry especially eff recovery clone finger bang chicken wang mgk igg azae lil pump lil xan imitate lil wayne aim everybody game pick name fed bein humble rumor hungry sure heard rumble heard wan na rumble like empty stomach heard mumblin jumbled mumbo jumbo era pummel comin gon na run gon na crumble take number two dump joyner kendrick cole sean goner bout bring anyone want guess walk bk expect whopper order quarter pounder go mcdonald lookin get porterhouse well go get revival actin like try serve slider maybe vocal shoulda auto tune woulda bought sayin longer miss line never caught go head stupid get mentally retard pretend smartest expertise knowledge never artist harder could ever regardless never flawless ever honest even go gon na brought even hit forty like alcoholic bottle full malt liquor bottle longer fact know hit bottom pull jaw defeat rise foot see even start get beef enemy die cease fire til least decease east side never caught slippin see sleep even wink blink doze even nod beat even close eye sneeze aw man bet cypher weak garbage thing even orange god reach shout colorblind people everyone call fire engine green aquamarine think water pink dawg date look like olive look apple peach finger bang pootie tang burger king gucci gang dookie dang charlamagne gon na hate anyway matter give donkey day way get underway gon na everything wan na welcome slaughterhouse invite em like day feel like beast burden line sand even worth way see people turn makin seem worthless startin defeat purpose watchin fan base shrink third tryin right thing word court public opinion reach verdict still yet determine determine critique worship could go back least reword empathize people evil serpent sell dream desert think workin verse makin wee bit nervous scurred answer word know lyrically get murder know least heard agent orange sent secret service meet person see really think hurtin ask link terrorist come ink lyricist beef medium journalist beef meaty journalist get mouthful flesh yes mean eat pannin album death givin medium finger wan na turn counsel sesh puttin ringer ironin press take beat cleaner,False,49,2018-08-31,Kamikaze,en,3755
River,liar thief lover cheat sin need holy water feel wash well little want admit something gon na pain truth lie right fall like rain river run comin home neck scratch catch flack sweat jacket dress slack mismatch breath jack addict want exact revenge get back chess match back like jet pack kept track internet chat guess happens movin next actually last chick ex lack love danger psychopath man girl even know devise plan stab back knife hand relationship hangin strand web lately maybe gwen stacy spite man know use try play care hi suzanne shoulda bye suzanne first night tonight liar thief lover cheat sin need holy water feel wash well little want admit something gon na pain truth lie fall like rain river run night stand turn two night stand come sunlight scram hug tight found feel desert use left first suppose tell girl hard find word aloof nervous sue want hurt deserve truth take personal person revert studio like hole wall diner reserve booth feel like person turn irreversible preyed like church pew want take advantage thirst pursue dirt get soapbox preach sermon speech detergent bleach burnin wound womb bring world shoulda knew use protection fore bit forbidden fruit liar thief lover cheat sin need holy water feel wash well little want admit something gon na pain truth lie fall like rain river run name name river river run call call river river run always bridesmaid never bride hey life highway deceit enclave swerve five lane speed high rate like slidin ice maybe may come sideways keep lie straight make terminate love triangle left u wreck tangle else fun bet really woulda love smile really wan na abort lie tell unborn child liar thief lover cheat sin need holy water feel wash well little want admit something gon na pain truth lie fall like rain river run,False,13,2017-12-15,Revival,en,1782
Venom,song fill strong world give raw deal set til scream screw talk like belong tell wrong field something mitochondrial latch like knock knock devil manevolent ever head spinnin medicine screamin l l l u l l l like salad bowl edgar allan poe bedridden shoulda dead long time ago liquid tylenol gelatin think skeleton meltin wicked get high think smell scent elephant manure hell meant kahl screw hell go hell accelerants blew volkswagen tailspin bucket match pale skin mayo go hellmann rail thin filet fish scribble jam rap olympics freaknik bizarre florida proof room slept floor da motel dr dre hell stamp like postcard word mel man know gon na hate care barely wait hit em snare bass square face world well prepare get lace gon na taste venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em knock knock devil shotgun p p pellet felt pen cocked around catch hot evident v venomous thought spun like web caught em held like hubcap mud flap beat strangler attack gon na feel like love tap eat painkiller pill track like name wheel danica patrick threw car reverse indy nut crashin ya back mangle steel mustang jeep wrangler grill front smash much rear fender assassin slim combination actual kamikaze gandhi translation probably kill u end backin ya gon na able tell happenin ya bit venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em knock knock devil alien e e elliott phone home tell chokehold game end loco become symbiote fang throat ho snake bitten venom ballpoint pen gun cocked bump stock double aught buckshot tire thumper garrote tie couple knot fire caught fire juggernaut punk rock goin like yung joc doc put like sunblock get shot ate til taste chase straight liquor paint thinner drank til faint awake headache take anything rectangular shape wait face demon bond chasin part escapin impossible latch onto like parasite probably ruin parent life childhood music grow responsible retard fool super villain dad mom losin marble marvel eddie brock suit call venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em venom adrenaline momentum knowin ever gon na slow ready snap moment thinkin time go get em gon na know hit em,False,29,2018-08-31,Kamikaze,en,2518
Berzerk,kick party look wack take back straight hip hop start scratch bout bloody track everybody get back pen need pad rhyme rag like addiction bout kick like magician critic turn cricket em still fence whether picket quick get impale tell em stick sick look pale wait pigment bout go ham ya bish shout kendrick bring back vintage slim art mcing mixed da vinci mc ren mean stimpy friend public enemy since thought pe gym kick shoe hair night long grow beard weird night long gon na rock house knock turn volume loud mayhem til make like k fed go go kick bucket life short go broke everybody everybody grab vial guess way dress khaki press nike shoe crispy fresh lace guess aftershave cologne make em faint plus show coat fresher wet paint love chess game check mate girl body bangin jump dang bang bang yes siree bob think thang come get kid rock baw da baw dang dang pow p p p pow chica pow chica wow wow gal blowin valve v v valve valve slowin throw towel towel towel dumb know huh huh least know know question bozo smart enough feel stupid hope ho kick shoe hair night long grow beard weird night long gon na rock house knock turn volume loud mayhem til crank bass like crazy go go kick bucket life short go broke everybody everybody get vinyl love powerful cough syrup styrofoam know fell asleep woke monte carlo ugly kardashian lamar sorry yo set bar low far hard drug though past enough codeine knock future tomorrow girl money borrow tryin find way get alone car note marshall mathers shithead potty mouth get bar soap lather kangol carheartless cargo girl fixin get heart broke absurd birdbrain call anybody since birdman unless swallow word rick get discourage girl jam unless toe jam kick shoe hair night long grow beard weird night long gon na rock house knock turn volume loud mayhem til make like k fed go go kick bucket life short go broke everybody everybody grab vial gon na rock house knock turn volume loud mayhem til crank bass like crazy go go kick bucket life short go broke everybody everybody get vial,True,41,2013-08-27,The Marshall Mathers LP2 (Deluxe),en,2017
